Ord.Date & Time,Exch.,Symbol,Action,Ord. Qty,Discl. Qty,Exec. Qty,Ord. Price,Trigger Price,Book Type,Sett. Type,Terminal Id,Order Type,Source,Product,Status,Reason,Ref. No.,Exch. Order No.,BasketId/SIP REF. No.
5/13/2026 14:04,NSE,TMCVEQ,BUY,2,0,2,385.7,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26051300359603,1300000084639260,0
3/13/2026 11:57,BSE,SPANDANAEQ,BUY,3,0,3,223,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26031300160957,1.77337260023298E+018,0
3/13/2026 11:14,BSE,KNRCONEQ,BUY,3,0,3,122,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26031300147807,1.77337728957026E+018,0
3/13/2026 10:31,NSE,ITCEQ,BUY,2,0,2,304,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26031300152949,1100000029969940,0
1/13/2026 14:08,NSE,GODFRYPHLPEQ,BUY,5,0,5,2200,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26011300354903,1100000065940720,0
1/13/2026 10:23,NSE,TMPVEQ,BUY,2,0,2,348.15,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011300153372,1300000020575060,0
1/13/2026 10:08,NSE,CIPLAEQ,BUY,2,0,2,1447,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26011300136185,1000000013747450,0
1/13/2026 9:59,NSE,GODFRYPHLPEQ,SELL,5,0,5,2206,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26011300114203,1100000017756340,0
5/12/2026 11:36,NSE,TCSEQ,BUY,1,0,1,2290,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26051200246246,1300000046699930,0
3/12/2026 17:22,BSE,SPANDANAEQ,BUY,5,5,0,223,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,,26031200065691,1.77328620001663E+018,0
3/12/2026 9:38,NSE,TMPVEQ,BUY,3,0,3,324,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26031200068136,1300000012544430,0
1/12/2026 14:33,BSE,KEIEQ,BUY,10,0,10,4331.9,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26011200408774,1.76820496855894E+018,0
1/12/2026 10:48,BSE,KEIEQ,SELL,10,0,10,4319.8,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26011200179741,1.76819373011947E+018,0
2/12/2026 10:06,BSE,TCSEQ,BUY,1,0,1,2800,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26021200127841,1.77086914612768E+018,0
6/11/2026 14:50,NSE,NEULANDLABEQ,BUY,2,0,2,17120,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26061100382476,1200000086336810,0
6/11/2026 13:37,BSE,WIPROEQ,BUY,5,0,5,177,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26061100291491,1.78115863403881E+018,0
6/11/2026 12:50,NSE,SPANDANAEQ,BUY,3,0,3,226.6,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26061100276746,1300000062072940,0
6/11/2026 9:35,NSE,NEULANDLABEQ,SELL,2,0,2,16894,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26061100075232,1200000010450760,0
3/10/2026 17:28,BSE,SPANDANAEQ,BUY,2,2,0,230,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,,26031000270726,1.77312019610051E+018,0
6/10/2026 9:58,NSE,GOLDBEESEQ,BUY,5,0,5,121.4,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26061000135313,1100000019302100,0
6/9/2026 14:36,NSE,WIPROEQ,BUY,5,0,5,181.4,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26060900365840,1300000079015760,0
1/9/2026 14:57,NSE,NEULANDLABEQ,SELL,2,0,2,14848,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26010900371344,1200000079013340,0
1/9/2026 12:47,BSE,GODFRYPHLPEQ,BUY,1,0,1,2084,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26010900271689,1.76794005865176E+018,0
1/9/2026 12:42,BSE,ITCEQ,BUY,2,0,2,336.9,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26010900268178,1.76793970294168E+018,0
